timestamp,speed_hall,speed_gps,latitude,longitude,gps_valid,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,obstacle_distance,deterministic_alert,sensor_valid
1600,38.39,38.25,12.971585,77.594593,True,0.137,0.104,9.994,-0.803,-0.195,-0.321,186.17,0,True
1700,38.99,38.38,12.97159,77.594584,True,-0.133,-0.15,9.969,-0.114,0.723,0.101,105.06,0,True
1800,42.0,42.67,12.971694,77.594685,True,0.209,-0.2,9.794,-0.573,-0.198,-0.883,137.9,0,True
1900,41.94,41.47,12.971657,77.594591,True,-0.046,0.274,9.998,0.112,0.437,-0.69,129.67,0,True
2000,41.87,42.03,12.971608,77.59465,True,-0.266,0.051,9.801,0.705,-0.685,0.922,108.01,0,True
2100,38.74,38.93,12.971635,77.594547,True,-0.228,0.234,9.698,0.189,0.239,-0.162,158.37,0,True
2200,40.09,40.96,12.971541,77.594643,True,-0.157,-0.063,9.869,-0.4,-0.368,0.504,107.25,0,True
2300,39.83,40.83,12.971699,77.594515,True,-0.172,-0.141,9.973,0.762,0.759,-0.261,115.77,0,True
2400,41.33,41.74,12.971622,77.594697,True,0.092,-0.295,9.927,-0.401,0.327,0.878,113.43,0,True
2500,38.46,37.68,12.971611,77.594554,True,0.063,0.131,9.681,0.268,-0.472,-0.023,190.53,0,True
2600,41.38,40.57,12.971585,77.594555,True,-0.298,0.163,9.855,-0.476,0.482,0.103,142.77,0,True
2700,38.04,37.19,12.971677,77.594681,True,0.027,0.201,9.833,-0.704,-0.745,-0.383,189.9,0,True
2800,41.18,41.91,12.97168,77.594542,True,-0.15,-0.238,9.912,0.768,-0.187,0.241,115.46,0,True
2900,41.72,42.45,12.971695,77.594662,True,0.229,-0.285,9.895,-0.336,0.862,0.604,186.41,0,True
3000,41.24,40.78,12.971657,77.594522,True,0.223,0.215,9.689,0.633,-0.079,-0.39,179.53,0,True
3100,38.91,37.96,12.971539,77.594566,True,0.219,0.28,9.712,0.283,-0.201,0.962,153.62,0,True
3200,41.76,40.99,12.971694,77.594536,True,0.278,-0.141,9.643,-0.131,0.457,-0.373,160.62,0,True
3300,40.05,39.82,12.971615,77.594551,True,0.125,-0.299,9.97,0.077,0.439,0.484,167.06,0,True
3400,39.46,38.6,12.971633,77.594566,True,-0.112,0.209,9.888,-0.399,-0.381,-0.183,140.24,0,True
3500,39.18,38.44,12.971584,77.594688,True,0.106,0.242,9.846,-0.398,0.096,-0.999,128.69,0,True
3600,39.72,39.88,12.971631,77.594593,True,-0.035,-0.172,9.789,0.802,0.592,-0.661,108.48,0,True
3700,40.06,40.33,12.971567,77.594664,True,0.151,0.104,9.69,-0.602,-0.951,-0.51,147.51,0,True
3800,41.4,40.54,12.971583,77.594626,True,-0.183,0.118,9.798,-0.512,0.312,-0.989,175.1,0,True
3900,41.08,40.29,12.971585,77.594535,True,0.275,0.011,9.62,-0.502,0.697,-0.087,180.14,0,True
4000,40.67,41.65,12.971619,77.59469,True,0.235,0.068,9.888,0.01,0.661,0.096,189.72,0,True
4100,40.97,40.92,12.971552,77.594549,True,0.083,0.159,9.809,0.253,-0.451,-0.845,128.57,0,True
4200,39.09,38.73,12.971608,77.594528,True,-0.161,0.116,9.883,-0.872,-0.185,0.085,141.58,0,True
4300,38.83,38.67,12.971681,77.594617,True,0.117,0.214,9.906,-0.239,-0.988,-0.296,175.35,0,True
4400,41.41,42.32,12.971584,77.59465,True,0.028,0.062,9.688,-0.561,-0.128,-0.942,133.61,0,True
4500,40.72,40.53,12.971533,77.594593,True,-0.223,0.073,9.611,-0.212,0.129,-0.946,164.27,0,True
4600,38.54,38.47,12.97151,77.594576,True,-0.173,-0.104,9.904,-0.242,0.504,0.664,125.23,0,True
4700,38.33,37.37,12.971608,77.5947,True,-0.09,0.09,9.912,0.304,0.508,0.899,119.94,0,True
4800,38.08,37.39,12.971525,77.594634,True,0.038,-0.169,9.88,0.534,-0.664,0.214,174.79,0,True
4900,38.46,39.1,12.971693,77.594522,True,-0.285,-0.113,9.871,0.916,-0.207,0.43,107.6,0,True
5000,40.76,41.02,12.97152,77.594654,True,0.21,0.06,9.648,0.968,0.565,-0.306,142.84,0,True
5100,39.48,39.49,12.971568,77.59467,True,0.193,-0.237,9.984,0.271,0.657,0.415,143.55,0,True
5200,40.94,41.87,12.971554,77.594662,True,0.023,-0.01,9.774,0.462,-0.463,0.703,183.07,0,True
5300,38.35,39.11,12.971549,77.594593,True,0.066,-0.073,9.611,0.702,-0.636,-0.576,179.78,0,True
5400,39.36,40.12,12.97164,77.594555,True,-0.294,0.269,9.634,0.44,-0.023,0.516,169.06,0,True
5500,40.58,40.57,12.971659,77.594519,True,-0.167,0.115,9.722,0.163,-0.053,0.062,142.55,0,True
5600,40.98,40.65,12.971641,77.594554,True,-0.149,-0.228,9.677,-0.761,0.072,0.524,118.51,0,True
5700,38.87,38.83,12.971645,77.594695,True,0.015,-0.13,9.64,-0.612,-0.545,-0.641,101.41,0,True
5800,40.14,39.69,12.971695,77.594611,True,0.118,-0.224,9.947,-0.018,0.745,0.148,146.94,0,True
5900,39.76,39.13,12.97151,77.594688,True,-0.013,0.193,9.76,-0.852,0.259,-0.893,114.92,0,True
6000,40.25,39.86,12.971699,77.594524,True,0.159,0.064,9.916,-0.549,0.045,-0.099,144.27,0,True
6100,41.44,42.42,12.971561,77.594624,True,0.066,0.144,9.979,-0.584,-0.578,0.321,115.71,0,True
6200,38.7,37.85,12.971501,77.59459,True,0.056,-0.125,9.693,0.414,0.406,-0.092,168.74,0,True
6300,41.7,42.27,12.971625,77.594632,True,0.26,-0.045,9.818,0.295,0.817,0.653,107.14,0,True
6400,38.66,38.28,12.97165,77.594614,True,-0.127,-0.225,9.875,0.399,0.885,0.001,149.38,0,True
6500,38.32,37.4,12.971586,77.594564,True,-0.15,-0.245,9.985,0.672,0.15,0.902,199.96,0,True
6600,40.69,40.23,12.971508,77.594651,True,-0.018,0.091,9.966,-0.637,0.171,0.27,149.17,0,True
6700,38.36,38.06,12.971567,77.594634,True,0.215,-0.102,9.877,-0.424,0.89,0.627,155.01,0,True
6800,39.82,39.45,12.971565,77.594694,True,-0.057,0.009,9.995,0.315,0.085,-0.174,118.76,0,True
6900,39.45,39.96,12.971625,77.594652,True,-0.178,0.03,9.971,-0.124,0.397,-0.757,197.31,0,True
7000,40.44,39.91,12.971532,77.59461,True,0.031,-0.244,9.997,0.826,-0.077,-0.765,183.21,0,True
7100,39.99,40.43,12.971602,77.594555,True,0.201,0.288,9.697,0.103,-0.233,0.844,150.82,0,True
7200,41.52,42.25,12.971555,77.594658,True,-0.051,0.261,9.803,0.641,-0.434,-0.403,158.69,0,True
7300,42.0,41.97,12.97153,77.594608,True,-0.093,0.031,9.817,-0.089,-0.356,-0.623,169.75,0,True
7400,40.29,39.75,12.971655,77.594509,True,0.147,0.123,9.925,-0.228,0.327,0.641,198.08,0,True
7500,39.98,39.06,12.9716,77.594618,True,0.222,0.225,9.776,0.052,-0.086,0.445,141.0,0,True
7600,40.62,39.93,12.971594,77.594694,True,-0.097,0.116,9.86,0.704,0.705,0.719,138.0,0,True
7700,39.27,39.7,12.971652,77.594674,True,-0.278,-0.259,9.852,0.842,0.995,0.494,143.4,0,True
7800,38.39,38.66,12.971675,77.594589,True,0.116,0.242,9.618,0.592,-0.413,-0.25,114.56,0,True
7900,40.12,40.26,12.971659,77.594534,True,-0.253,0.223,9.848,-0.518,0.826,-0.714,146.11,0,True
8000,39.02,38.53,12.971502,77.594661,True,0.241,0.107,9.663,-0.117,-0.309,0.175,163.89,0,True
8100,39.7,39.2,12.971669,77.59454,True,-0.069,-0.01,9.695,0.144,0.15,0.985,129.52,0,True
8200,41.91,42.23,12.971555,77.594613,True,0.111,0.147,9.62,0.213,-0.007,0.808,128.62,0,True
8300,41.2,41.41,12.97157,77.594627,True,0.073,0.107,9.888,0.318,0.677,0.256,190.34,0,True
8400,40.59,40.2,12.971588,77.594616,True,0.139,-0.246,9.718,0.495,-0.649,-0.736,153.94,0,True
8500,41.89,41.95,12.971683,77.594666,True,-0.146,0.195,9.793,0.613,0.493,-0.323,111.52,0,True
8600,41.85,41.13,12.971693,77.594672,True,0.135,0.288,9.987,0.609,-0.268,0.581,101.39,0,True
8700,40.15,40.06,12.971635,77.594634,True,0.051,0.193,9.976,-0.783,-0.532,-0.95,188.42,0,True
8800,40.25,41.08,12.971544,77.594513,True,0.194,0.246,9.721,-0.183,-0.72,0.893,130.44,0,True
8900,39.97,39.16,12.971677,77.594527,True,-0.028,0.102,9.897,0.892,-0.162,0.485,115.45,0,True
9000,39.66,38.86,12.971598,77.594582,True,0.271,-0.28,9.748,-0.113,0.901,0.711,109.94,0,True
9100,40.74,40.83,12.971696,77.594572,True,-0.061,-0.186,9.649,0.696,-0.091,0.326,164.17,0,True
9200,40.39,39.43,12.971657,77.594549,True,-0.224,0.039,9.627,0.53,-0.586,-0.568,186.97,0,True
9300,39.31,38.61,12.97168,77.594501,True,0.215,-0.213,9.652,-0.499,-0.651,0.322,102.58,0,True
9400,38.06,38.64,12.971548,77.594565,True,-0.195,-0.269,9.897,0.052,0.491,-0.048,177.8,0,True
9500,40.05,39.27,12.971601,77.594689,True,-0.274,0.17,9.947,0.043,-0.084,0.928,106.08,0,True
9600,39.92,39.72,12.971637,77.594598,True,0.246,-0.256,9.632,0.217,-0.869,-0.45,163.31,0,True
9700,40.19,39.84,12.971699,77.594606,True,-0.028,0.063,9.64,0.404,0.706,0.302,176.9,0,True
9800,40.88,40.31,12.97159,77.594546,True,-0.097,-0.028,9.766,-0.81,-0.146,0.33,137.43,0,True
9900,38.61,39.46,12.971513,77.594666,True,-0.244,-0.242,9.896,0.624,0.113,0.173,156.16,0,True
10000,39.32,38.56,12.971571,77.594633,True,0.15,0.221,9.888,0.937,0.201,-0.297,157.79,0,True
10100,38.85,39.16,12.971545,77.594522,True,0.207,-0.079,9.905,0.148,0.614,0.69,197.45,0,True
10200,41.27,41.5,12.971629,77.594505,True,0.257,0.198,9.707,-0.639,0.405,-0.382,133.98,0,True
10300,38.02,38.76,12.971613,77.59458,True,-0.215,0.08,9.612,0.492,-0.57,-0.16,134.09,0,True
10400,39.48,39.92,12.971655,77.594614,True,-0.249,-0.268,9.663,0.236,0.348,-0.456,166.19,0,True
10500,39.94,39.83,12.971555,77.594651,True,-0.232,-0.042,9.713,0.357,-0.027,0.334,104.54,0,True
10600,39.58,39.78,12.971502,77.59456,True,-0.173,-0.218,9.702,-0.344,-0.985,0.494,117.57,0,True
10700,39.52,39.93,12.9716,77.594667,True,0.184,-0.257,9.945,-0.915,-0.963,0.842,186.21,0,True
10800,40.3,40.45,12.971642,77.594584,True,-0.231,-0.287,9.73,0.603,0.236,0.664,191.98,0,True
10900,38.35,39.04,12.971549,77.594618,True,0.014,-0.063,9.724,-0.321,-0.334,-0.664,151.05,0,True
11000,38.46,38.48,12.971681,77.59457,True,0.136,0.191,9.926,-0.527,-0.707,-0.605,160.24,0,True
11100,41.04,41.35,12.971535,77.594655,True,-0.004,0.153,9.904,-0.102,0.848,0.129,163.53,0,True
11200,40.5,41.23,12.971625,77.59453,True,-0.259,-0.035,9.721,-0.451,-0.888,0.015,131.04,0,True
11300,39.81,38.92,12.971666,77.594515,True,0.219,0.213,9.846,0.014,-0.075,0.109,179.18,0,True
11400,41.58,41.48,12.971662,77.59463,True,-0.107,-0.015,9.66,-0.876,-0.793,0.798,134.34,0,True
11500,40.86,40.87,12.971535,77.59455,True,-0.037,-0.036,9.809,-0.683,-0.254,-0.434,140.88,0,True
11600,39.35,39.55,12.971658,77.594629,True,-0.26,-0.243,9.871,-0.432,0.447,0.313,190.63,0,True
11700,41.49,41.16,12.971617,77.594528,True,-0.09,0.281,9.879,-0.216,0.19,0.876,130.96,0,True
11800,39.51,40.09,12.971663,77.594634,True,0.197,0.143,9.874,0.053,0.292,-0.153,136.18,0,True
11900,39.45,38.81,12.971543,77.59469,True,-0.008,-0.164,9.655,-0.846,0.689,-0.798,177.09,0,True
12000,41.34,42.11,12.971508,77.594567,True,0.16,-0.221,9.751,-0.676,0.663,0.542,180.9,0,True
12100,38.66,38.54,12.971582,77.594635,True,-0.157,-0.033,9.714,0.497,-0.102,0.068,130.95,0,True
12200,41.23,41.17,12.971667,77.594574,True,0.268,0.291,9.785,-0.436,-0.236,0.055,196.63,0,True
12300,41.27,41.87,12.971528,77.59455,True,0.085,0.224,9.822,-0.795,0.692,0.702,128.51,0,True
12400,41.05,40.6,12.971681,77.594529,True,-0.038,0.268,9.689,-0.098,-0.301,-0.947,105.33,0,True
12500,40.01,39.48,12.971699,77.594575,True,-0.283,0.258,9.936,0.3,0.583,-0.725,128.69,0,True
12600,41.32,41.71,12.971528,77.594641,True,-0.031,-0.297,9.632,-0.488,0.67,0.098,172.72,0,True
12700,40.11,39.33,12.971558,77.59456,True,-0.271,-0.048,9.918,-0.086,-0.778,0.81,159.67,0,True
12800,38.07,38.1,12.971548,77.594529,True,-0.042,0.069,9.696,-0.167,0.329,-0.829,197.47,0,True
12900,38.27,38.32,12.971601,77.594698,True,0.032,-0.066,9.788,0.271,0.962,-0.493,101.62,0,True
13000,41.15,40.84,12.971647,77.594626,True,0.163,0.141,9.733,-0.911,0.092,0.627,117.51,0,True
13100,41.12,41.05,12.971639,77.594626,True,0.187,-0.262,9.91,-0.085,-0.413,-0.912,119.95,0,True
13200,38.17,39.03,12.971603,77.594698,True,0.026,-0.148,9.901,-0.618,-0.286,0.562,186.58,0,True
13300,39.33,38.58,12.971574,77.594678,True,0.146,0.237,9.755,0.947,-0.008,-0.005,192.43,0,True
13400,40.08,40.68,12.971645,77.594516,True,0.061,0.193,9.818,-0.358,-0.84,0.322,130.65,0,True
13500,40.41,40.26,12.971638,77.59457,True,-0.275,0.222,9.741,0.996,-0.451,0.96,194.79,0,True
13600,38.3,38.58,12.971573,77.59466,True,0.108,0.272,9.657,0.215,0.563,-0.93,106.72,0,True
13700,41.11,40.85,12.971577,77.594613,True,0.063,0.107,9.98,-0.256,0.526,0.148,152.95,0,True
13800,39.59,39.89,12.97155,77.594523,True,0.141,-0.001,9.755,0.123,-0.476,-0.479,144.63,0,True
13900,41.99,41.56,12.971683,77.594598,True,-0.226,0.212,9.781,0.797,-0.11,-0.824,168.19,0,True
14000,41.38,41.02,12.971569,77.594513,True,0.025,0.235,9.941,0.424,0.855,0.275,179.37,0,True
14100,40.04,39.28,12.97154,77.594528,True,0.174,-0.284,9.822,-0.262,0.607,0.103,161.19,0,True
14200,38.34,37.96,12.9717,77.594644,True,0.015,0.161,9.929,-0.852,0.945,0.285,145.0,0,True
14300,40.72,40.41,12.971676,77.594656,True,0.084,-0.191,9.987,-0.135,0.821,-0.889,112.42,0,True
14400,38.61,37.94,12.971565,77.594642,True,-0.092,0.265,9.958,0.692,-0.499,0.27,155.08,0,True
14500,38.5,38.11,12.971607,77.594601,True,-0.199,0.265,9.662,0.317,0.441,0.21,184.25,0,True
14600,40.25,40.9,12.971506,77.594509,True,0.085,0.046,9.86,0.534,-0.167,0.278,149.8,0,True
14700,40.51,40.09,12.971691,77.594597,True,0.183,0.111,9.719,-0.854,-0.88,-0.121,148.43,0,True
14800,38.82,39.03,12.971563,77.594644,True,0.141,0.216,9.99,-0.738,-0.259,0.123,131.91,0,True
14900,39.87,39.4,12.97155,77.594519,True,-0.126,-0.07,9.846,-0.503,0.731,-0.681,132.74,0,True
15000,40.31,39.94,12.971653,77.5946,True,0.009,-0.001,9.723,-0.954,0.89,0.011,196.67,0,True
15100,38.86,38.57,12.97151,77.594599,True,0.229,0.093,9.788,0.073,0.694,-0.138,188.25,0,True
15200,40.91,41.44,12.971573,77.59458,True,0.042,-0.183,9.821,-0.853,0.009,0.529,127.97,0,True
15300,41.96,42.32,12.971524,77.594695,True,-0.064,0.177,9.736,0.878,0.51,-0.602,150.91,0,True
15400,40.0,39.09,12.971527,77.594567,True,-0.016,-0.026,9.843,0.031,-0.344,0.226,116.25,0,True
15500,41.96,42.44,12.97156,77.594567,True,0.197,0.019,9.883,-0.4,0.631,-0.263,167.38,0,True
15600,41.92,42.09,12.971659,77.594645,True,0.113,-0.284,9.79,0.934,0.566,0.552,157.76,0,True
15700,40.89,41.05,12.971534,77.594626,True,0.072,0.205,9.659,0.361,-0.937,0.896,110.99,0,True
15800,38.08,37.7,12.97153,77.594638,True,-0.054,0.165,9.968,0.746,0.472,-0.875,113.81,0,True
15900,38.83,38.48,12.971632,77.594605,True,-0.112,-0.196,9.965,-0.315,-0.291,0.544,172.09,0,True
16000,40.57,40.96,12.971622,77.594538,True,-0.152,0.035,9.69,0.946,-0.405,-0.422,120.73,0,True
16100,40.82,40.45,12.97157,77.594687,True,0.177,-0.136,9.649,0.353,-0.241,0.96,181.84,0,True
16200,41.82,42.43,12.971558,77.594558,True,0.128,-0.092,9.777,-0.487,-0.042,-0.596,153.86,0,True
16300,41.73,42.12,12.971527,77.594623,True,0.052,-0.155,9.868,0.062,0.276,-0.895,141.33,0,True
16400,40.87,40.07,12.971654,77.594501,True,0.03,0.257,9.763,0.87,0.757,-0.045,119.95,0,True
16500,41.86,41.5,12.971629,77.594682,True,-0.246,0.044,9.814,0.446,0.873,0.826,117.51,0,True
16600,41.53,40.88,12.971684,77.594699,True,-0.062,-0.003,9.975,0.924,0.852,0.753,100.93,0,True
16700,40.27,39.49,12.971697,77.594557,True,0.293,0.026,9.798,0.877,0.702,-0.064,119.28,0,True
16800,38.45,37.78,12.971592,77.594551,True,-0.188,0.142,9.916,0.136,0.515,-0.649,185.61,0,True
16900,41.59,42.24,12.971603,77.594517,True,0.102,-0.189,9.656,-0.353,-0.504,-0.478,123.55,0,True
17000,41.02,41.92,12.97156,77.594645,True,-0.293,0.092,9.877,-0.876,-0.764,-0.386,140.54,0,True
17100,40.01,40.8,12.971641,77.594562,True,-0.23,0.25,9.718,0.229,-0.562,-0.733,115.32,0,True
17200,40.99,41.2,12.971583,77.59461,True,-0.018,0.023,9.866,-0.563,-0.505,0.509,187.31,0,True
17300,38.33,38.22,12.971641,77.594516,True,0.039,-0.263,9.819,0.011,0.145,-0.7,132.81,0,True
17400,40.08,39.31,12.971541,77.594617,True,-0.245,0.006,9.923,-0.093,0.026,-0.086,105.77,0,True
17500,39.85,40.46,12.971645,77.594579,True,0.19,0.147,9.831,-0.909,-0.311,-0.872,199.41,0,True
17600,41.74,40.88,12.971687,77.594506,True,-0.055,0.161,9.906,0.957,0.292,-0.159,199.29,0,True
17700,39.53,40.27,12.971681,77.594575,True,0.11,0.097,9.816,0.307,-0.304,-0.643,153.73,0,True
17800,40.12,40.57,12.971545,77.594501,True,-0.286,-0.121,9.869,0.089,0.064,0.647,124.75,0,True
17900,39.38,38.94,12.971687,77.594645,True,-0.232,0.186,9.768,0.532,0.768,-0.969,120.61,0,True
18000,38.4,37.47,12.97162,77.594641,True,-0.271,0.144,9.761,-0.531,-0.565,0.727,105.64,0,True
18100,40.02,39.59,12.971663,77.594646,True,-0.109,0.059,9.869,-0.359,-0.396,-0.713,166.02,0,True
18200,38.88,38.49,12.971512,77.59469,True,0.228,0.247,9.85,-0.146,-0.009,0.945,194.16,0,True
18300,40.69,41.26,12.971564,77.594583,True,-0.21,-0.074,9.902,-0.053,0.699,-0.399,170.76,0,True
18400,41.22,42.05,12.971612,77.594694,True,0.034,-0.22,9.697,-0.593,0.293,0.844,184.71,0,True
18500,38.37,38.82,12.971538,77.594554,True,0.104,0.062,9.949,-0.624,0.523,0.449,155.89,0,True
18600,39.92,40.66,12.971567,77.594691,True,-0.291,0.262,9.985,-0.765,0.999,-0.042,124.26,0,True
18700,40.42,39.83,12.971683,77.59461,True,0.165,-0.072,9.813,-0.281,-0.477,0.026,149.73,0,True
18800,38.39,39.36,12.971594,77.594668,True,0.249,-0.078,9.766,0.125,-0.557,-0.708,126.08,0,True
18900,41.74,41.9,12.971584,77.59453,True,-0.102,-0.072,9.933,-0.001,0.309,0.37,125.73,0,True
19000,41.29,42.22,12.971628,77.594598,True,-0.199,0.177,9.668,0.441,-0.023,0.834,154.21,0,True
19100,40.57,39.68,12.971507,77.594669,True,0.267,0.101,9.906,-0.175,0.685,-0.537,170.72,0,True
19200,38.04,38.05,12.971575,77.594624,True,0.1,0.07,9.793,-0.024,-0.987,0.103,101.19,0,True
19300,40.12,39.67,12.971695,77.594503,True,0.188,0.104,9.922,0.82,-0.786,-0.807,114.89,0,True
19400,38.77,38.82,12.971663,77.594553,True,-0.062,-0.076,9.762,0.13,0.98,-0.548,168.4,0,True
19500,41.39,41.7,12.971672,77.594652,True,-0.244,-0.072,9.821,-0.888,-0.981,-0.657,149.99,0,True
19600,39.74,40.3,12.971613,77.594672,True,-0.243,0.017,9.617,-0.577,0.736,0.775,147.55,0,True
19700,38.19,37.33,12.971685,77.59468,True,0.038,-0.28,9.972,-0.371,0.923,0.174,175.23,0,True
19800,40.85,40.65,12.971515,77.594532,True,-0.156,0.201,9.756,0.793,-0.337,0.511,114.0,0,True
19900,41.95,42.4,12.9716,77.594695,True,-0.268,-0.038,9.935,-0.319,0.538,0.91,139.67,0,True
20000,41.09,40.15,12.971555,77.594699,True,-0.006,-0.087,9.976,-0.136,0.359,0.321,108.57,0,True
20100,40.47,41.07,12.971643,77.594516,True,-0.207,0.127,9.854,0.479,-0.367,-0.787,100.52,0,True
20200,39.23,38.95,12.971554,77.594527,True,-0.188,-0.031,9.822,-0.184,-0.947,-0.292,109.31,0,True
20300,40.39,40.04,12.971577,77.594558,True,-0.067,-0.249,9.96,0.81,0.956,0.144,116.96,0,True
20400,39.52,38.8,12.97156,77.594599,True,-0.262,-0.039,9.768,-0.032,-0.846,-0.497,124.66,0,True
20500,40.5,40.69,12.971539,77.594521,True,-0.117,0.269,9.733,0.24,0.608,-0.341,133.47,0,True
20600,41.26,41.98,12.971695,77.594527,True,-0.108,0.268,9.68,-0.372,0.929,0.937,129.14,0,True
20700,40.78,40.76,12.971615,77.594548,True,-0.074,0.19,9.757,-0.772,0.128,0.184,154.56,0,True
20800,40.73,40.83,12.971691,77.594592,True,0.125,-0.037,9.717,0.386,0.638,0.591,140.91,0,True
20900,40.0,40.26,12.971548,77.594632,True,0.129,0.173,9.63,0.981,-0.042,-0.198,150.66,0,True
21000,41.68,42.06,12.971609,77.594658,True,-0.084,0.237,9.815,0.276,-0.83,0.538,165.76,0,True
21100,39.42,39.71,12.971509,77.594697,True,0.106,-0.06,9.901,0.931,-0.139,-0.979,125.87,0,True
21200,40.04,40.08,12.971616,77.594615,True,-0.033,-0.065,9.909,0.177,0.001,-0.31,102.46,0,True
21300,38.42,38.25,12.971692,77.594523,True,0.264,-0.215,9.725,-0.089,-0.586,-0.034,147.62,0,True
21400,39.75,40.15,12.971564,77.59456,True,0.186,-0.231,9.94,0.296,0.354,-0.671,198.39,0,True
21500,38.98,38.32,12.971532,77.594612,True,0.275,-0.161,9.762,-0.631,0.281,-0.136,102.92,0,True
21600,40.46,39.85,12.971618,77.594578,True,0.123,-0.177,9.901,0.617,-0.875,-0.796,187.2,0,True
21700,38.75,38.4,12.971592,77.594552,True,0.218,0.017,9.856,0.194,0.223,0.174,134.79,0,True
21800,41.38,41.62,12.971663,77.594641,True,-0.122,0.069,9.634,-0.732,-0.764,-0.389,118.3,0,True
21900,40.77,40.8,12.971584,77.594528,True,-0.07,-0.189,9.854,0.387,0.291,1.0,155.49,0,True
22000,39.96,39.24,12.971563,77.59459,True,-0.268,-0.085,9.604,-0.727,0.63,0.928,150.54,0,True
22100,39.98,40.35,12.971583,77.594668,True,-0.007,-0.25,9.612,0.522,-0.416,-0.45,153.76,0,True
22200,38.67,38.59,12.971649,77.594653,True,0.03,-0.232,9.646,0.55,0.647,-0.266,182.26,0,True
22300,38.17,38.6,12.971609,77.594698,True,-0.239,0.198,9.901,-0.405,0.999,-0.101,134.86,0,True
22400,41.27,41.15,12.971699,77.594655,True,-0.158,0.186,9.835,-0.299,0.422,0.266,116.6,0,True
22500,38.56,37.97,12.971541,77.594512,True,-0.09,-0.131,9.816,-0.353,0.408,-0.421,126.73,0,True
22600,41.43,42.4,12.971636,77.594519,True,0.278,0.171,9.968,0.985,0.734,-0.746,186.61,0,True
22700,39.0,39.42,12.971666,77.594652,True,0.106,-0.006,9.831,-0.463,-0.172,-0.096,163.36,0,True
22800,41.52,40.71,12.971603,77.594556,True,0.262,-0.079,9.98,-0.345,-0.995,0.548,173.27,0,True
22900,40.92,40.84,12.971633,77.594572,True,-0.262,0.021,9.687,-0.141,-0.576,-0.463,182.83,0,True
23000,39.35,39.51,12.971613,77.594597,True,-0.094,0.11,9.619,-0.801,0.568,-0.081,112.42,0,True
23100,41.43,41.31,12.9715,77.594692,True,-0.179,0.113,9.653,0.3,-0.682,0.865,127.4,0,True
23200,40.62,40.12,12.971574,77.594681,True,-0.201,-0.062,9.722,0.399,-0.532,0.311,170.37,0,True
23300,38.0,37.96,12.971527,77.594545,True,0.108,-0.294,9.878,0.634,0.976,-0.155,113.22,0,True
23400,38.28,38.05,12.971646,77.59452,True,-0.112,0.229,9.655,0.547,0.506,-0.734,199.29,0,True
23500,38.57,38.63,12.971502,77.59463,True,-0.036,0.133,9.851,-0.697,-0.177,0.373,186.0,0,True
23600,38.35,37.55,12.97165,77.594618,True,-0.07,0.278,9.726,-0.72,-0.446,-0.832,155.34,0,True
23700,40.4,40.62,12.971656,77.594638,True,0.209,0.095,9.721,0.035,0.019,0.496,129.55,0,True
23800,38.22,39.01,12.971691,77.594599,True,-0.232,-0.0,9.838,0.057,0.955,0.974,193.39,0,True
23900,38.53,39.25,12.971614,77.594573,True,0.11,0.158,9.982,0.541,-0.967,-0.865,126.22,0,True
24000,38.16,37.28,12.971658,77.594601,True,0.077,0.001,9.766,0.404,-0.835,0.073,161.6,0,True
